22:11:27,★エントリー,59210.0,11,11,0
22:16:01,!!!損切り,59175.0,11,0,-35.0
22:16:04,★エントリー,59175.0,11,11,0
22:20:47,利確1(30円),59205.0,5,6,30.0
22:29:49,利確2(50円),59225.0,2,4,50.0
22:33:51,利確3(100円),59275.0,2,2,100.0
22:50:27,最終決済,59180.0,2,0,5.0
22:50:29,★エントリー,59180.0,11,11,0
22:50:41,利確1(30円),59220.0,5,6,40.0
22:50:48,利確2(50円),59230.0,2,4,50.0
22:54:23,利確3(100円),59290.0,2,2,110.0
23:24:18,★LONG開始,LONG,59560.0,11,11,0
23:25:12,!!!損切り,LONG,59530.0,11,0,-30.0
23:25:21,★SHORT開始,SHORT,59530.0,11,11,0
23:30:39,利確1(30円),SHORT,59495.0,5,6,35.0
23:30:49,利確2(50円),SHORT,59480.0,2,4,50.0
23:34:34,利確3(100円),SHORT,59425.0,2,2,105.0
20:11:27,★LONG開始,LONG,59315.0,11,11,0
20:20:47,★LONG開始,LONG,59315.0,11,11,0
20:20:52,!!!強制決済,LONG,59315.0,11,0,0.0
20:20:59,★LONG開始,LONG,59315.0,11,11,0
20:21:04,!!!強制決済,LONG,59315.0,11,0,0.0
20:21:06,★SHORT開始,SHORT,59315.0,11,11,0
20:21:10,!!!強制決済,SHORT,59315.0,11,0,0.0
21:51:43,★LONG開始,LONG,59315.0,11,11,0
08:21:29,★指値発注(LONG),LONG,59220.0,11,0,0
